nama,kota
RS ORTHOPEDI SIAGA UTAMA,GROBOGAN
RSJ MARZOEKI MAHDI,BOGOR
RS PARAMEDIKA,BEKASI
RS UNIMUS SEMARANG,SEMARANG
RS PKU MUHAMMADIYAH SUKOHARJO,SUKOHARJO
RS AT-TIN HOSPITAL BAWEN,SEMARANG
RSUD BANTEN,SERANG
RS JANNAH,SERANG
RSIA RESPATI TASIKMALAYA,TASIKMALAYA
RS ALTIUS,BEKASI
RS KELUARGA SEHAT III SEMARANG,SEMARANG
RSU GLADISH MEDICAL CENTER,PESAWARAN
RSGMP.UNIVERSITAS JENDERAL SOEDIRMAN PURWOKERTO,BANYUMAS
RS JIWA DR RADJIMAN WEDIODININGRAT LAWANG,MALANG
RSUP BEN MBOI KUPANG,KUPANG
RSUD CILEUNGSI,BOGOR
RS CAHYA MEDIKA BONDOWOSO,BONDOWOSO
RS HERMINA PASURUAN,PASURUAN
RSU DARMAYU MADIUN,MADIUN
RS CITRA ARAFIQ BEKASI,BEKASI
RS CITRA ARAFIQ SERANG,SERANG
RS MITRA PLUMBON PATROL,INDRAMAYU
RSU AL-FATAH AMBON,AMBON
RS SAMSOE HIDAJAT,SEMARANG
RS KETERGANTUNGAN OBAT JAKARTA,JAKARTA TIMUR
RSJ DR SOEHARTO HEERDJAN JAKARTA,JAKARTA BARAT
RS. PERMATA PALEMBANG,PALEMBANG
RS. MURNI TEGUH NARIPAN BANDUNG,BANDUNG
RSUD. JATISAMPURNA,BEKASI
RSU PKU MUHAMMADIYAH PRAMBANAN,KLATEN
RSGM UNIVERSITAS AIRLANGGA,SURABAYA
RSU MITRA GURAY PETUMBUKAN,DELI SERDANG
RSUD PASAR REBO,JAKARTA TIMUR
RSJ MENUR PROVINSI JAWA TIMUR,SURABAYA
RS HERMINA NUSANTARA,PENAJAM PASER UTARA
MAYAPADA HOSPITAL NUSANTARA,PENAJAM PASER UTARA
HERMINA HOSPITAL MADIUN,MADIUN
SENTRA MEDIKA HOSPITAL GEMPOL,CIREBON
RSUD ANUGERAH SEHAT AFIAT DEPOK,DEPOK
RS UNIVERSITAS PADJADJARAN,SUMEDANG
BETHSAIDA HOSPITAL SERANG,SERANG
RS NURHAYATI CIKAJANG,GARUT
RS MANGESTI RAHAYU,KARANGANYAR
RS EDELWEISS BENTANG SALAPAN,CIANJUR
RSUD TELUK PUCUNG BEKASI,BEKASI
CIPUTRA HOSPITAL SURABAYA,SURABAYA
RSI TUNAS HARAPAN SALATIGA,SALATIGA
RS PERTAMINA PANORAMA BALIKPAPAN,BALIKPAPAN
RS HERMINA PIK DUA,TANGERANG
RS CIMALAKA,SUMEDANG
RS NARAY HOSPITAL,DUMAI
RSGM USU,MEDAN
RS ISLAM DR. SUBKI ABDUL KADIR,BEKASI
RS ISLAM KOTA MAGELANG,MAGELANG
CHARLIE HOSPITAL DEMAK,DEMAK
RSU PURBOWANGI,KEBUMEN
EKA HOSPITAL DEPOK,DEPOK
RS SANTA ELISABETH BENGALON,KUTAI TIMUR
RUMAH SAKIT RHANAKA KOTA PANGKALPINANG,PANGKAL PINANG
RSUP SURABAYA,SURABAYA
RS AWAL BROS HANGTUAH,PEKANBARU
RS HERMINA RUMBAI,PEKANBARU
RS PKU MUHAMMADIYAH SLEMAN,SLEMAN
RSU ISLAMI MUTIARA BUNDA,BREBES
RS ST. ELISABETH GANJURAN,BANTUL
RSKGM KOTA BANDUNG,BANDUNG
BALI INTERNATIONAL HOSPITAL,DENPASAR
RSUD WATES,KULON PROGO
RSUD IBU FATMAWATI SOEKARNO,SURAKARTA (SOLO)
RSU SARAS IBNU SINA SUKOWATI,SRAGEN
RS BHAYANGKARA HASTA BRATA BATU,BATU
RS PERMATA KELUARGA SUMMARECON BEKASI,BEKASI
RSUP MAKASSAR,MAKASSAR
RSUD BANTAR GEBANG,BEKASI
RS HATI MULIA KENDARI,KENDARI
RSU HASTUTI,SRAGEN
RSUD KOTA TANGERANG,TANGERANG
RS AMANAH MEDICAL CENTRE,BANJARMASIN
RS GUNUNG MANIK BANGKA BARAT,BANGKA BARAT
RSUD KANJURUHAN KAB. MALANG,MALANG
RSGM UNIVERSITAS ANDALAS,PADANG
RS AWAL BROS BATU AJI BATAM,BATAM
RSUD EKA CANDRARINI,SURABAYA
RSGM NALA HUSADA,SURABAYA
RSU TELAGA BUNDA 2 COT GAPU,BIREUEN
SEDAYU GENERAL HOSPITAL,BANTUL
RS PASUNDAN,BANDUNG
RSGMP UNIVERSITAS HASANUDDIN,MAKASSAR
RS MULYA MEDIKA SAMARINDA,SAMARINDA
