nama,kota
RSU ST CAROLUS SUMMARECON,TANGERANG
RS DR. J. H. AWALOEI MANADO,MANADO
RSU KALIWATES,JEMBER
RS IMC BANDUNG,BANDUNG BARAT
RS IBNU SINA PADANG,PADANG
RS MANYAR MEDICAL CENTRE,SURABAYA
RS HARAPAN BUNDA LAMPUNG,LAMPUNG TENGAH
RSIA MUTIARA PUTRI,BANDAR LAMPUNG
RS TELAGA BUNDA BIREUEN,BIREUEN
RS GRIYA MEDIKA DOMPET DHUAFA,TULANG BAWANG
RSU MUHAMMADIYAH METRO,METRO
RS HERMINA LAMPUNG,BANDAR LAMPUNG
RS KHUSUS BEDAH SS MEDIKA,JAKARTA PUSAT
RS SEKAR KAMULYAN,KUNINGAN
RSUP PERSAHABATAN,JAKARTA TIMUR
RS TNI AL DR R OETOJO SORONG,SORONG
RS KHUSUS BEDAH RAMA HADI,PURWAKARTA
RSI IBNU SINA PAYAKUMBUH,PAYAKUMBUH
PERTAMINA HOSPITAL BALONGAN,INDRAMAYU
RS ARI CANTI GIANYAR,GIANYAR
RS KARTIKA HUSADA SETU,BEKASI
RS DR SUYOTO PUSREHAB KEMHAN,JAKARTA SELATAN
RS LOTIM MEDICAL CENTER,LOMBOK TIMUR
RSIA CEMPAKA AZ-ZAHRA,BANDA ACEH
RSUD WONOSARI,GUNUNG KIDUL
SILOAM HOSPITALS MANADO,MANADO
RS PAHLAWAN MEDIKA CENTER,HULU SUNGAI SELATAN
RS FATIMA KETAPANG,KETAPANG
RS MEDIKA SANGATTA,KUTAI TIMUR
RSU PERMATA MEDICAL CENTER INDRAMAYU,INDRAMAYU
RSUP DR KARIADI,SEMARANG
RS TIARA BEKASI,BEKASI
RS KHUSUS BEDAH THT PROKLAMASI BSD,TANGERANG SELATAN
RS BIDADARI BINJAI,BINJAI
RS HARAPAN MULIA,BEKASI
RSU BUNDA JAKARTA,JAKARTA PUSAT
RS MAWAR BANJARBARU,BANJARBARU
RS KHUSUS BEDAH HALIMUN,JAKARTA SELATAN
RS BIOMEDIKA,MATARAM
RSIA LIMIJATI,BANDUNG
RS MEDIROSSA 2,BEKASI
RSIA SAYYIDAH,JAKARTA TIMUR
SILOAM HOSPITALS MAKASSAR,MAKASSAR
RSIA MUSLIMAT JOMBANG,JOMBANG
RSUD SUBANG,SUBANG
RSU MUTIARA AINI,BATAM
RSIA AL-FAUZAN (JAKARTA ISLAMIC HOSPITAL),JAKARTA TIMUR
RS PERMATA MEDIKA KEBUMEN,KEBUMEN
RS BINTANG AMIN,BANDAR LAMPUNG
RS MITRA SIAGA TEGAL,TEGAL
RS AWAL BROS UJUNG BATU,ROKAN HULU
RS AIRLANGGA JOMBANG,JOMBANG
RSI AISYIYAH NGANJUK,NGANJUK
SILOAM SRIWIJAYA PALEMBANG,PALEMBANG
RSUD CIAWI,BOGOR
RS EMANUEL BANJARNEGARA,BANJARNEGARA
RSU HARAPAN IBU PURBALINGGA,PURBALINGGA
RS MUHAMMADIYAH SITI AMINAH,BREBES
RS.PANTI BHAKTININGSIH(CHARITAS HOSPITAL BELITANG),OGAN KOMERING ULU TIMUR
RSU SAKINAH LHOKSEUMAWE,LHOKSEUMAWE
RS BINTANG,KLUNGKUNG
RS ISLAM NAMIRA SELONG,LOMBOK TIMUR
RSU GANESHA,GIANYAR
RSIA SAMMARIE BASRA,JAKARTA TIMUR
RS PALANG BIRU KUTOARJO,PURWOREJO
SILOAM HOSPITALS BALI,BADUNG
RSUD TARAKAN JAKARTA,JAKARTA PUSAT
RSUD BUDHI ASIH,JAKARTA TIMUR
RS PETROKIMIA GRESIK GRHA HUSADA,GRESIK
RS UPN CIPTO MANGUNKUSUMO (KENCANA),JAKARTA PUSAT
RSI SITI HAJAR MATARAM,KOTA MATARAM
RSIA PERMATA HATI MATARAM,KOTA MATARAM
RSIA TRESNA,MATARAM
RS PELENGKAP MEDICAL CENTER,JOMBANG
BETHSAIDA HOSPITAL,TANGERANG
RSIA BUNDA ASY-SYIFA,BANDAR LAMPUNG
RSU BUNGA MELATI,LHOKSEUMAWE
RSIA MUTIARA BUNDA MALANG,MALANG
RS SIDO WARAS,MOJOKERTO
RS MEDIKA LESTARI,TANGERANG
RSU KARUNIA KASIH,BEKASI
RS MUHAMMADIYAH GRESIK,GRESIK
RS ISLAM HASANAH MUHAMMADIYAH,MOJOKERTO
RS WIYUNG SEJAHTERA,SURABAYA
RS NAHDLATUL ULAMA TUBAN,TUBAN
RS GRANDMED,DELI SERDANG
RSU MITRA MEDIKA MEDAN,MEDAN
RS MITRA SEJATI MEDAN,MEDAN
RS SRI PAMELA TEBING TINGGI,TEBING TINGGI
RS CIKARANG MEDIKA,BEKASI
RSU DR IQBALI TAUFAN,BEKASI
RSB JEUMPA PONTIANAK,PONTIANAK
RSIA ANNISA JAMBI,JAMBI
RS PRIMA HUSADA MALANG,MALANG
RSU MURNI TEGUH MEMORIAL HOSPITAL,MEDAN
RSU ARAFAH ANWAR MEDIKA SUKODONO,SIDOARJO
RSIA GIZAR,BEKASI
RS BUDI ASIH CIKARANG,BEKASI
RS LAWANG MEDIKA,MALANG
RS BHAYANGKARA LUMAJANG,LUMAJANG
RSU BINA KASIH,MEDAN
RS BINTANG LAUT,PALOPO
RS HERMINA MEKARSARI,BOGOR
RS AMALIA BONTANG,BONTANG
RSU KASIH IBU TABANAN,TABANAN
RS ARSANI,BANGKA
RSUD KABUPATEN KLUNGKUNG,KLUNGKUNG
RS MATA CICENDO,BANDUNG
RSAU DR MOCH SALAMUN,BANDUNG
SILOAM HOSPITALS SIMATUPANG,JAKARTA SELATAN
RSIA RESTU BUNDA,BANDAR LAMPUNG
RS MEDIKA DRAMAGA,BOGOR
RSU PELITA ANUGERAH,DEMAK
RSU BAITURRAHIM JAMBI,JAMBI
RSUP DR HASAN SADIKIN BANDUNG,BANDUNG
RS KENDANG SARI SURABAYA,SURABAYA
RS AVISENA CIMAHI,CIMAHI
RS BHAYANGKARA KUPANG,KUPANG
RS METTA MEDIKA SIBOLGA,SIBOLGA
RS ANTAM MEDIKA,JAKARTA TIMUR
RS BHAKTI ASIH BREBES,BREBES
RS JAKARTA EYE CENTER (JEC) KEDOYA,JAKARTA BARAT
RS MURHUM,BAU-BAU
RS DR SISMADI,BOGOR
RS MITRA IDAMAN,BANJAR
RS MAWADDAH MEDIKA,MOJOKERTO
NATIONAL HOSPITAL SURABAYA,SURABAYA
RS OTAK DR DRS M HATTA BUKITTINGGI,BUKITTINGGI
RS FATIMA MAKALE TORAJA,TANA TORAJA
RS PERMATA PAMULANG,TANGERANG SELATAN
RS PATAR ASIH LUBUK PAKAM,DELI SERDANG
RS SETIO HUSODO,ASAHAN
RS PERMATA MADINA PANYABUNGAN,MANDAILING NATAL
MAYAPADA HOSPITAL JAKARTA SELATAN (MHJS),JAKARTA SELATAN
BRAWIJAYA HOSPITAL TANGERANG,TANGERANG
RS MATA PADANG EYE CENTER KHATIB,PADANG
RS KAMBANG JAMBI,JAMBI
RS KHUSUS JANTUNG HASNA MEDIKA,CIREBON
RS EMC SENTUL,BOGOR
RS PRASETYA BUNDA TASIKMALAYA,TASIKMALAYA
RS JANTUNG JAKARTA,JAKARTA TIMUR
RS UMMI,BOGOR
RS KHUSUS MATA SMEC MEDAN,MEDAN
RSIA BUDHI MULIA,PEKANBARU
RSU KHALISHAH PALIMANAN,CIREBON
RSIA AZZAHRA PALEMBANG,PALEMBANG
RS HELSA,KARAWANG
RS SAMARINDA MEDIKA CITRA,SAMARINDA
METRO HOSPITALS CIKARANG,BEKASI
RS JULIANA,BOGOR
RSKIA EKA GRAND FAMILY,JAKARTA UTARA
RSIA PURI BETIK HATI,BANDAR LAMPUNG
RS PERMATA BUNDA TASIKMALAYA,TASIKMALAYA
RSU KASIH BUNDA,CIMAHI
RS AWAL BROS PANAM,PEKANBARU
RS SIAGA AL MUNAWWARAH SAMARINDA,SAMARINDA
RS ROYAL SURABAYA,SURABAYA
RS GRAHA HERMINE,BATAM
RS HERMINA SERPONG,TANGERANG SELATAN
RSB ANNISA TANGKERANG,PEKANBARU
RS WATES HUSADA,GRESIK
RSU HARAPAN BERSAMA,SINGKAWANG
RSIA AL ISLAM,BANDUNG
RS ISLAM AMAL SEHAT SRAGEN,SRAGEN
RS PERTAMINA TANJUNG,TABALONG
RSU ALMANSYUR MEDIKA BANJARBARU,BANJARBARU
RS CUT MEUTIA,LANGSA
RS SITO HUSADA,BELU
SEMEN PADANG HOSPITAL,PADANG
RS AR BUNDA LUBUK LINGGAU,LUBUK LINGGAU
RS KASIH HERLINA TIMIKA,MIMIKA
RS PELITA INSANI,BANJAR
RS PERMATA DEPOK,DEPOK
RS ISLAM LUMAJANG,LUMAJANG
RS MITRA MEDIKA PONTIANAK,PONTIANAK
RS ROSELA,KARAWANG
RSU PINDAD,BANDUNG
RSU MITRA FAMILY,KARAWANG
RS AQIDAH,TANGERANG
RS DELI,MEDAN
RSU BUNDA SIDOARJO,SIDOARJO
RSUD ANDI MAKKASAU,PAREPARE
RS KARYA BHAKTI PRATIWI,BOGOR
RS CITRA MEDIKA DEPOK,DEPOK
RS ISLAM ASY-SYIFAA,LAMPUNG TENGAH
RSB SAYANG BUNDA,TASIKMALAYA
RS INSAN PERMATA,TANGERANG SELATAN
RSU SYLVANI,BINJAI
RS ORTHOPEDI DAN TRAUMATOLOGY,SURABAYA
RS PURA RAHARJA,SURABAYA
RS PERTAMINA PALEMBANG,PALEMBANG
RSIA ASSALAM,BOGOR
RSIA PURI MALANG,MALANG
RSIA GALERI CANDRA,MALANG
RSIA KASIH IBU MANADO,MANADO
RS MUTIARA HATI,MOJOKERTO
RS COLUMBIA ASIA SEMARANG,SEMARANG
RS LIRA MEDIKA,KARAWANG
RS COLUMBIA ASIA PULOMAS,JAKARTA TIMUR
PERTAMINA HOSPITAL DUMAI,DUMAI
PERTAMINA HOSPITAL CILACAP,CILACAP
RS AN NUR,SLEMAN
RSUD CILACAP,CILACAP
RSUP PROF DR RD KANDOU MANADO,MANADO
RS ISLAM PKU MUHAMMADIYAH PALANGKARAYA,PALANGKA RAYA
RS KARTIKA CIBADAK,SUKABUMI
RS HADI HUSADA,TANJUNG BALAI
RS HERMINA SOLO,SURAKARTA (SOLO)
RS T TKII DRJA LATUMETEN,AMBON
RSUD R. SYAMSUDIN SH KOTA SUKABUMI,SUKABUMI
RSU HANDAYANI,LAMPUNG UTARA
RS MITRA KELUARGA KENJERAN,SURABAYA
RSIA ANDINI,PEKANBARU
RSU MELINDA 2,BANDUNG
RS PERMATA JONGGOL,BOGOR
PERSADA HOSPITAL,MALANG
RS HERMINA BANYUMANIK,SEMARANG
RS KARTINI KUPANG,KUPANG
RS. ISLAM YOGYAKARTA PDHI,SLEMAN
RS HARAPAN PEMATANG SIANTAR,PEMATANG SIANTAR
RSUD KOTA BOGOR,BOGOR
RSIA VITALAYA,TANGERANG SELATAN
RSIA SENTOSA MAKASSAR,MAKASSAR
RS UNIVERSITAS HASANUDDIN,MAKASSAR
RSU QUEEN LATIFA,SLEMAN
RS ELIZABETH PTP NUSANTARA XI SITUBONDO,SITUBONDO
RS ISLAM HIDAYATULLAH,YOGYAKARTA
RSU WIRADADI HUSADA,BANYUMAS
RSU ALLAM MEDICA BUMIAYU,BREBES
RSU AMANDA BERASTAGI,KARO
RSIA ANUGERAH MEDICAL CENTER,METRO
RSIA WIDANINGSIH,TASIKMALAYA
RS ANUGERAH PEKALONGAN,PEKALONGAN
RSIA PURI BUNDA MALANG,MALANG
RS ISLAM BONTANG (YABIS),BONTANG
RS SURABAYA MEDICAL SERVICE,SURABAYA
RSIA KIRANA SIDOARJO,SIDOARJO
RS GRIYA HUSADA MADIUN,MADIUN
RSIA UMMI TASIKMALAYA,TASIKMALAYA
RS MUHAMMADIYAH PALEMBANG,PALEMBANG
RS SURYA ASIH PRINGSEWU,PRINGSEWU
RS PANTI NUGROHO,SLEMAN
RS WILLIAM BOOTH SEMARANG,SEMARANG
RS ISLAM PURWOKERTO,BANYUMAS
RS PKU MUHAMMADIYAH SRUWENG,KEBUMEN
RS PKU MUHAMMADIYAH GOMBONG,KEBUMEN
RSIA PALA RAYA,TEGAL
RS QOLBU INSAN MULYA (QIM),BATANG
SANTOSA HOSPITAL BANDUNG KOPO,BANDUNG
RSUD KARTINI JEPARA,JEPARA
RSJ PROF DR SOEROJO,MAGELANG
RSIA GEBANG MEDIKA,TANGERANG
RS ISLAM PATI,PATI
RSIA LOMBOK DUA DUA (JL FLORES),SURABAYA
RS YOSHUA LUBUK PAKAM,DELI SERDANG
RS MULIA PAJAJARAN,BOGOR
RSB MARDI WALOEJA RAMPAL,MALANG
RS RIDOGALIH,SUKABUMI
RSIA KARUNIA BUNDA TANGERANG,TANGERANG
RSIA ANUGRAH,KUBU RAYA
RS MATA SMEC BALIKPAPAN,BALIKPAPAN
RS WIRASAKTI,KUPANG
RS KRISTEN LINDIMARA,SUMBA TIMUR
RSUD UMBU RARA MEHA WAINGAPU,SUMBA TIMUR
RS CITRA HUSADA JEMBER,JEMBER
RSU NATAMA,TEBING TINGGI
RSUD KAB BULELENG,BULELENG
RSUD SANJIWANI GIANYAR,GIANYAR
RSU BUNDA NEGARA,JEMBRANA
RSUD KARDINAH TEGAL,TEGAL
RS LUKAS,BANGKALAN
RSI MADINAH KASEMBON,MALANG
RSUD IBNU SINA KAB GRESIK,GRESIK
RS VANIA,BOGOR
SILOAM HOSPITALS DHIRGA SURYA,MEDAN
RS GRAHA SEHAT KRAKSAAN,PROBOLINGGO
RSIA BUNDA CIPUTAT,TANGERANG SELATAN
RS UMUM AMINAH BLITAR,BLITAR
RSI SAKINAH MOJOKERTO,MOJOKERTO
RS ERA MEDIKA,TULUNGAGUNG
RS DARMAYU PONOROGO,PONOROGO
RS AT-TIN HUSADA,NGAWI
RSIA CAHAYA BUNDA,CIREBON
RS MITRA MEDIKA BONDOWOSO,BONDOWOSO
RS FADHILAH,PRABUMULIH
RS ROYAL PRIMA MEDAN,MEDAN
RS SRIWIJAYA PALEMBANG,PALEMBANG
SILOAM HOSPITALS KUPANG,KUPANG
RSIA BUNDA SURYATNI,BOGOR
RS KURNIA SERANG,SERANG
RS SARI MUTIARA LUBUK PAKAM,DELI SERDANG
RS MADANI MEDAN,MEDAN
RS PENYAKIT INFEKSI PROF DR SULIANTI SAROSO,JAKARTA UTARA
RS MUSI MEDIKA CENDIKIA,PALEMBANG
RS NURHAYATI,GARUT
RSU HOLISTIC PURWAKARTA,PURWAKARTA
RSIA SITI HAWA,PADANG
RS PETROKIMIA GRESIK DRIYOREJO,GRESIK
RS KARINA MEDIKA PURWAKARTA,PURWAKARTA
RS DERA AS-SYIFA,BREBES
RS ISLAM GARAM KALIANGET,SUMENEP
RS NAHDLATUL ULAMA BANYUWANGI,BANYUWANGI
RSU PREMAGANA,GIANYAR
RS DUTA INDAH,JAKARTA UTARA
RS RIZANI,PROBOLINGGO
RS ISLAM DARUS SYIFA,SURABAYA
RSIA LOMBOK DUA DUA LONTAR,SURABAYA
RS ISLAM GONDANGLEGI,MALANG
RSU SUNDARI,MEDAN
RSIA SRI RATU,MEDAN
RS PRIMA MEDIKA PEMALANG,PEMALANG
RSIA LEONA,KUPANG
RS DR HAFIZ (RSDH) CIANJUR,CIANJUR
RS SENTRA MEDIKA SANGGAU,SANGGAU
RS MUTIARA BUNDA TULANG BAWANG,TULANG BAWANG
RSU PKU MUHAMMADIYAH ROGOJAMPI,BANYUWANGI
RS PROF DR TABRANI,PEKANBARU
RS CAHAYA,ROKAN HILIR
RS APRILLIA,CILACAP
RS KHUSUS BEDAH SETIA BUDI,MEDAN
RSU UNIVERSITAS MUHAMMADIYAH MALANG,MALANG
RS ANGKATAN LAUT DR AZHAR ZAHIR MANOKWARI,MANOKWARI
RS KHUSUS BEDAH ROPANASURI,PADANG
RS WIJAYA SURABAYA,SURABAYA
RSIA ANDHIKA,JAKARTA SELATAN
RS LADOKGI,JAKARTA PUSAT
RSIA NUR UMMI NUMBI (NUN) SURABAYA,SURABAYA
RS FATHMA MEDIKA GRESIK,GRESIK
RSIA GRHA BUNDA,BANDUNG
RS BALIMED KARANGASEM,KARANGASEM
RSUD A WAHAB SJAHRANIE SAMARINDA,SAMARINDA
RS MATA SOLO,SURAKARTA (SOLO)
RSK JIWA DHARMAWANGSA,JAKARTA SELATAN
RSIA GRIYA MEDIKA,BATAM
RS HERMINA YOGYA,SLEMAN
RSU MITRA KELUARGA KALIDERES,JAKARTA BARAT
RSUP DR WAHIDIN SUDIROHUSODO,MAKASSAR
SILOAM HOSPITALS MATARAM,MATARAM
RS DR AGUNG,BIMA
RS BUKIT ASAM MEDIKA TANJUNG ENIM,MUARA ENIM
RS KHUSUS MATA NUSANTARA,JAKARTA SELATAN
RS PUSAT OTAK NASIONAL,JAKARTA TIMUR
RS KHUSUS BEDAH DHARMA USADHA SIDHI,DENPASAR
RSIA KENDANGSARI MERR,SURABAYA
RSU FASTABIQ SEHAT,PATI
RSIA SANTA ANNA LAMPUNG,BANDAR LAMPUNG
RSIA GUNUNG SAWO,SEMARANG
RS MUHAMMADIYAH TEMANGGUNG,TEMANGGUNG
RS AWAL BROS A YANI PEKANBARU,PEKANBARU
RS SURYA MEDIKA,GRESIK
RS PRASETYA HUSADA,MALANG
RS BHAKTI HUSADA KRIKILAN,BANYUWANGI
RSIA BUN,TANGERANG
RSKIA SADEWA,SLEMAN
RS AMELIA,KEDIRI
RSKB JATIWINANGUN,BANYUMAS
RS FAMILI HUSADA,GIANYAR
RS EMC CIKARANG,BEKASI
RS CITRA HUSADA PANGKALAN BUN,KOTAWARINGIN BARAT
RS PERMATA CIREBON,CIREBON
RS MUHAMMADIYAH SITI KHODIJAH KEDIRI,KEDIRI
RS CIPUTRA CITRA GARDEN CITY,JAKARTA BARAT
RS CIKUNIR,BEKASI
RSIA PASUTRI,BOGOR
RS TIARA TANGERANG,TANGERANG
SAN MEDICAL CENTER HOSPITAL (SMC HOSPITAL),KARAWANG
RSIA PONDOK JATI,SIDOARJO
RSUD DR KANUJOSO DJATIWIBOWO,BALIKPAPAN
RSUD DR. H. JUSUF SK.,TARAKAN
RSUD R.T. NOTOPURO SIDOARJO,SIDOARJO
AULIA HOSPITAL PEKANBARU,PEKANBARU
RS HERMINA BITUNG,TANGERANG
SILOAM HOSPITALS BUTON,BAU-BAU
SILOAM HOSPITALS LABUAN BAJO,MANGGARAI BARAT
RS KH ABDURRAHMAN SYAMSURI (ARSY),LAMONGAN
RS ISLAM NASHRUL UMMAH,LAMONGAN
RSU SHANTI GRAHA,BULELENG
RSIA ANANDA MAKASSAR,MAKASSAR
RS NAILI DBS,PADANG
RSIA BUNDA AISYAH,TASIKMALAYA
RSIA CEMPAKA PUTIH PERMATA SURABAYA,SURABAYA
RSIA KIRANA MANADO,MANADO
RS DKH KEDUNGWARINGIN,BEKASI
RS PERMATA KELUARGA JABABEKA,BEKASI
RS KASIH IBU SABA GIANYAR,GIANYAR
RS PERTAMEDIKA UMMI ROSNATI,BANDA ACEH
RSIA FRISDHY ANGEL,BATAM
RSIA MUTIARA BUNDA,PADANG
RS UTAMA TANJUNG PANDAN,BELITUNG
RS PRIMA PEKANBARU,PEKANBARU
RSU PERMATA MADINA SIBUHUAN,PADANG LAWAS
RS BALI JIMBARAN,BADUNG
RS BANGLI MEDIKA CANTI,BANGLI
RS CERIA KANDANGAN,HULU SUNGAI SELATAN
RSKIA HARAPAN BUNDA BANDUNG,BANDUNG
RS ISLAM PURWOREJO,PURWOREJO
RSU GRHA BHAKTI MEDIKA,KLUNGKUNG
RSU WISATA UNIVERSITAS INDONESIA TIMUR,MAKASSAR
RSGM MARANATHA,BANDUNG
RSIA ST YUSUF TANJUNG PRIOK,JAKARTA UTARA
RS MATA PERMANA SARI,BANDAR LAMPUNG
RSU PUTRA WASPADA,TULUNGAGUNG
RSIA MUHAYA,PANGKAL PINANG
RSIA METRO HOSPITALS KEBON JERUK,JAKARTA BARAT
RSIA KARTINI MAKASSAR,MAKASSAR
RSU SITI MADYANG,PALOPO
RSU TK II BHAYANGKARA MAKASSAR,MAKASSAR
RS TK III DRREKSODIWIRYO,PADANG
RS KHUSUS BEDAH KARTIKA DOCTA,PADANG
RS BHAKTI KESEHATAN MASYARAKAT,PESISIR SELATAN
RS MATA PEKANBARU EYE CENTER,PEKANBARU
RSUP DR M DJAMIL,PADANG
RS KHUSUS MATA REGINA EYE CENTER,PADANG
RS SINAR KASIH PURWOKERTO,BANYUMAS
RS SILOAM BEKASI TIMUR,BEKASI
RSIA PERMATA SERDANG,SERANG
RSIA PERMATA HATI MAKASSAR,MAKASSAR
RS HERMINA PERIUK TANGERANG,TANGERANG
CIPUTRA MITRA HOSPITAL,BANJARMASIN
RS NAHDLATUL ULAMA JOMBANG,JOMBANG
RS MANADO MEDICAL CENTER,MANADO
RSIA ANUGERAH SEMARANG,SEMARANG
RS FATIMAH SERANG,SERANG
RSIA SAMMARIE WIJAYA,JAKARTA SELATAN
RS MARINA PERMATA,TANAH BUMBU
