nama,kota
RS ISLAM SITI KHADIJAH PALEMBANG,PALEMBANG
RS AMANDA,KARAWANG
RS ISLAM MASYITHOH,PASURUAN
RS LAVALETTE,MALANG
RS HOSANA MEDICA LIPPO,BEKASI
RS BUDI ASIH,SERANG
RS VITA INSANI,PEMATANG SIANTAR
RSIA CITRA INSANI,BOGOR
RS SANTA CLARA MADIUN,MADIUN
RS AL-HUDA,BANYUWANGI
RS PERKEBUNAN (PTPN) X JEMBER,JEMBER
RS ISLAM FATIMAH BANYUWANGI,BANYUWANGI
RS AISYIYAH BOJONEGORO,BOJONEGORO
RS EMC ALAM SUTERA,TANGERANG SELATAN
RS KARTIKA HUSADA TAMBUN,BEKASI
RSUD CENGKARENG,JAKARTA BARAT
RS EMC TANGERANG,TANGERANG
RS AMANDA CIKARANG SELATAN,BEKASI
RS ISLAM MALAHAYATI,MEDAN
RSU MARTHA FRISKA,MEDAN
RS ISLAM SURAKARTA,SUKOHARJO
RS PKU MUHAMMADIYAH SURAKARTA,SURAKARTA (SOLO)
RS PANTI RAPIH,YOGYAKARTA
RS GADING PLUIT,JAKARTA UTARA
RS HARUM SISMA MEDIKA,JAKARTA TIMUR
RS ISLAM HARAPAN ANDA,TEGAL
RS ISLAM KLATEN,KLATEN
RS BINA HUSADA CIBINONG,BOGOR
RS SANTO BORROMEUS BANDUNG,BANDUNG
RS SUAKA INSAN,BANJARMASIN
RS ANANDA BEKASI,BEKASI
RSU PROF DR BOLONI,MEDAN
RSIA BRAWIJAYA DUREN TIGA,JAKARTA SELATAN
RS PURI CINERE,DEPOK
RSIA TUMBUH KEMBANG,DEPOK
RS AU DRESNAWAN ANTARIKSA,JAKARTA TIMUR
RS KANKER DHARMAIS,JAKARTA BARAT
RS EMMA,MOJOKERTO
RS KHUSUS THT-BEDAH PROKLAMASI,JAKARTA PUSAT
RSPAD GATOT SUBROTO PAV.KARTIKA 1,JAKARTA PUSAT
RSIA BUNDA JAKARTA,JAKARTA PUSAT
RS PEKANBARU MEDICAL CENTER,PEKANBARU
RS SIAGA RAYA,JAKARTA SELATAN
RS PUSAT PERTAMINA,JAKARTA SELATAN
RS METROPOLITAN MEDICAL CENTRE (MMC),JAKARTA SELATAN
RS MEDISTRA,JAKARTA SELATAN
RS GANDARIA,JAKARTA SELATAN
RS MURNI TEGUH SUDIRMAN JAKARTA,JAKARTA PUSAT
RS MYRIA,PALEMBANG
RSU UKI,JAKARTA TIMUR
RUMAH SAKIT UIN SYARIF HIDAYATULLAH JAKARTA,JAKARTA TIMUR
RS HUSADA UTAMA,SURABAYA
RS DR MOEDJITO DWIDJOSISWOJO,JOMBANG
RS SUKMUL,JAKARTA UTARA
RS ATMA JAYA,JAKARTA UTARA
RS ISLAM ORPEHA,TULUNGAGUNG
RS PANTI WALUYA SAWAHAN,MALANG
CHARITAS HOSPITAL PALEMBANG,PALEMBANG
RSU AISYIYAH PONOROGO,PONOROGO
RS PERTAMINA PRABUMULIH,PRABUMULIH
RS ST ELISABETH - PURWOKERTO,BANYUMAS
RSAL DR.RAMELAN SURABAYA,SURABAYA
RS PREMIER SURABAYA,SURABAYA
RS ADI HUSADA UNDAAN WETAN,SURABAYA
RS HERMINA SUKABUMI,SUKABUMI
RSIA BUNDA SEJAHTERA,TANGERANG
RS FAMILY MEDICAL CENTER (FMC),BOGOR
RS ROYAL TARUMA,JAKARTA BARAT
RSAL DR. MIDIYATO SURATANI,TANJUNG PINANG
RSIA ZAINAB,PEKANBARU
BRAWIJAYA WOMEN & CHILDREN HOSPITAL,JAKARTA SELATAN
RSU BUNDA SEJATI,TANGERANG
RS JANTUNG HARAPAN KITA,JAKARTA BARAT
RS ANNA PEKAYON,BEKASI
RS TIARA SELLA,BENGKULU
RS ISLAM BANJARMASIN,BANJARMASIN
RS ZAHIRAH,JAKARTA SELATAN
RS MURNI TEGUH CILEDUG,TANGERANG
RS SANTO ANTONIUS MATARAM,MATARAM
RSUD KOTA MATARAM,MATARAM
RS DELIMA ASIH SISMA MEDIKA,KARAWANG
RSU KERTHA USADA,BULELENG
RSB GRAHA RAP,KARIMUN
RSIA EKA FAMILY,JAKARTA UTARA
RSU YADIKA KEBAYORAN LAMA,JAKARTA SELATAN
RS AL ISLAM BANDUNG,BANDUNG
RSUP PROF DR IGNG NGOERAH,DENPASAR
RS ISLAM JAKARTA UTARA (SUKAPURA),JAKARTA UTARA
RS BUNDA PALEMBANG,PALEMBANG
RSIA YK MADIRA,PALEMBANG
RSUD AL IHSAN,BANDUNG
RS YADIKA PONDOK BAMBU,JAKARTA TIMUR
RS HERMINA GALAXY,BEKASI
SILOAM HOSPITALS JAMBI,JAMBI
RS PHC SURABAYA,SURABAYA
RS BANYUMANIK,SEMARANG
RS DHARMA KERTI,TABANAN
RS ASRI MEDIKA,BEKASI
RS AT MEDIKA,PALOPO
RS KRAKATAU MEDIKA,CILEGON
RS WILLIAM BOOTH SURABAYA,SURABAYA
RS PELABUHAN JAKARTA,JAKARTA UTARA
RS AWAL BROS PEKANBARU,PEKANBARU
RS PERMATA HATI DURI,BENGKALIS
RS MURNI TEGUH HORAS INSANI,PEMATANG SIANTAR
RS ST ELISABETH - MEDAN,MEDAN
RS ANWAR MEDIKA,SIDOARJO
RS GATOEL MOJOKERTO,MOJOKERTO
RSU THURSINA,BENGKALIS
RS SARI ASIH CILEDUG,TANGERANG
RSIA MUTIARA BUNDA CILEGON,CILEGON
RS MURNI ASIH,TANGERANG
RS BHAYANGKARA TK1 RSAID SUKANTO (POLRI),JAKARTA TIMUR
RS PATRIA IKKT,JAKARTA BARAT
RS ISLAM JAKARTA (CEMPAKA PUTIH),JAKARTA PUSAT
RSU PETUKANGAN,JAKARTA SELATAN
RS AL DR MINTOHARDJO,JAKARTA PUSAT
RSU AULIA,JAKARTA SELATAN
RS ISLAM FATIMAH CILACAP,CILACAP
RS BAPTIS KEDIRI,KEDIRI
RS KRISTEN MOJOWARNO,JOMBANG
RS ISLAM SURABAYA,SURABAYA
RS KURNIA CILEGON,CILEGON
RS PERMATA BUNDA BEKASI,BEKASI
RS JANTUNG BINA WALUYA CARDIAC CENTER,JAKARTA TIMUR
SILOAM HOSPITALS YOGYAKARTA,YOGYAKARTA
MAYAPADA HOSPITAL BOGOR,BOGOR
RS MUHAMMADIYAH TAMAN PURING,JAKARTA SELATAN
RS MUJI RAHAYU,SURABAYA
RS DHARMA NUGRAHA,JAKARTA TIMUR
RS CITRA SARI HUSADA,KARAWANG
RS ST ELISABETH - BATAM,BATAM
RSIA SELASIH MEDIKA,BEKASI
RSPAD GATOT SUBROTO PAV.KARTIKA 2,JAKARTA PUSAT
RSIA SELARAS CIKUPA,TANGERANG
RS RAFFLESIA BENGKULU,BENGKULU
RSU FIKRI MEDIKA,KARAWANG
RS ISLAM KARAWANG,KARAWANG
RSIA TAMBAK,JAKARTA PUSAT
RS SUMBER WARAS CIWARINGIN,CIREBON
RS PORT MEDICAL CENTER,JAKARTA UTARA
RS KHARITAS BHAKTI,PONTIANAK
RS MITRA KELUARGA WARU,SIDOARJO
RADJAK HOSPITAL JABABEKA,BEKASI
SILOAM HOSPITALS PURWAKARTA,PURWAKARTA
RS BUNDA PENGHARAPAN,MERAUKE
RSIA PRATIWI,TANGERANG
RS BALIMED,DENPASAR
RS AMANDA CIKARANG UTARA,BEKASI
RSIA PUSURA TEGALSARI,SURABAYA
RS ST ELISABETH - BEKASI,BEKASI
RS HUSADA,JAKARTA PUSAT
RS BUNDA MARGONDA,DEPOK
RSU ASRI PURWAKARTA,PURWAKARTA
RS ESTOMIHI,MEDAN
RS MITRA PLUMBON CIBITUNG,BEKASI
MRCCC-SILOAM HOSPITALS SEMANGGI,JAKARTA SELATAN
RS MEDIROSSA,BEKASI
RSPAD GATOT SUBROTO PAV.KARTIKA 3(DH P.IMAMSUJUDI),JAKARTA PUSAT
RSU BUDI KEMULIAAN,JAKARTA PUSAT
RS MARINIR CILANDAK,JAKARTA SELATAN
RS KESDAM CIJANTUNG,JAKARTA TIMUR
RS MISI LEBAK,LEBAK
RS MEILIA,DEPOK
RSU SARI ASIH SANGIANG,TANGERANG
RS BUNGSU,BANDUNG
RS RAJAWALI,BANDUNG
RS KHUSUS THT & BEDAH CIRANJANG,JAKARTA SELATAN
RS PERMATA CIBUBUR,BEKASI
RS PUTERA BAHAGIA (SILOAM HOSPITALS GROUP),CIREBON
RS MITRA HUSADA PRINGSEWU,PRINGSEWU
RS KHUSUS BEDAH HALMAHERA SIAGA,BANDUNG
RS JANTUNG DIAGRAM (SILOAM HOSPITALS GROUP),DEPOK
RS GRHA PERMATA IBU,DEPOK
RS TEUNGKU FAKINAH,BANDA ACEH
RSU PROKLAMASI,KARAWANG
RS BHAKTI MULIA,JAKARTA BARAT
RS TRIMITRA CIBINONG,BOGOR
RS PERMATA BUNDA CIAMIS,CIAMIS
RS JAKARTA EYE CENTER (JEC) MENTENG,JAKARTA PUSAT
RS SANTO ANTONIUS PONTIANAK,PONTIANAK
RS BETHA MEDIKA,SUKABUMI
RSIA SOERYA,SIDOARJO
RSIA RESTI MULYA,JAKARTA TIMUR
RSPAD GATOT SUBROTO (PAV IKA),JAKARTA PUSAT
PRIMAYA HOSPITAL TANGERANG,TANGERANG
RS JATI SAMPURNA,BEKASI
RS CITRA HARAPAN,BEKASI
RS CAHYA KAWALUYAN,BANDUNG BARAT
RS PAKUWON SUMEDANG,SUMEDANG
RS BHAKTI RAHAYU TABANAN,TABANAN
RS LESTARI RAHARJA,MAGELANG
RS MANDAYA,KARAWANG
RSU KASIH IBU KEDONGANAN,BADUNG
RS RAWA LUMBU,BEKASI
RS NGESTI WALUYO,TEMANGGUNG
RS PURI ASIH,SALATIGA
RS BHAKTI RAHAYU DENPASAR,DENPASAR
RS DHARMA YADNYA,DENPASAR
RSIA PURI BUNDA,DENPASAR
RS SANTA MARIA CILACAP,CILACAP
RS SUMBER WARAS (GROGOL),JAKARTA BARAT
RSIA GLADIOOL,MAGELANG
RSU BHAKTI ASIH,TANGERANG
RS AMC (ANNISA MEDICAL CENTER),BANDUNG
RS SANTO YUSUP,BANDUNG
SANTOSA BANDUNG INTERNASIONAL HOSPITAL,BANDUNG
RS SUMBER KASIH,CIREBON
RS NIRMALA SURI,SUKOHARJO
RS BRAYAT MINULYA,SURAKARTA (SOLO)
RS BHAYANGKARA KEDIRI,KEDIRI
RS SITI AISYAH MADIUN,MADIUN
RSIA AISYIYAH SAMARINDA,SAMARINDA
RS BUNDA LHOKSEUMAWE,LHOKSEUMAWE
RS AKADEMIS JAURY YUSUF PUTERA,MAKASSAR
RSU SARAH,MEDAN
RS HASANAH GRAHA AFIAH,DEPOK
RSPAD GATOT SUBROTO PAV.DARMAWAN,JAKARTA PUSAT
RS MEDIKA MULIA TUBAN,TUBAN
RS MUHAMMADIYAH LAMONGAN,LAMONGAN
RS ADI HUSADA KAPASARI,SURABAYA
RSIA ASSYIFA,TANGERANG
RS BALIKPAPAN BARU,BALIKPAPAN
RS PUPUK KALTIM BONTANG,BONTANG
RS JUWITA,BEKASI
RS RESTU KASIH,JAKARTA TIMUR
RSU SANTA MARIA PEMALANG,PEMALANG
RS BUDI RAHAYU PEKALONGAN,PEKALONGAN
RS ISLAM NU DEMAK,DEMAK
RS ISLAM SUNAN KUDUS,KUDUS
EKA HOSPITAL BSD,TANGERANG
RS GRAHA HUSADA JEPARA,JEPARA
RS PANTI RAHAYU,GROBOGAN
RS BUMI WARAS,BANDAR LAMPUNG
RS JIH (JOGJA),SLEMAN
RS BAKTI TIMAH PANGKAL PINANG,PANGKAL PINANG
RSUP DR SARDJITO,SLEMAN
RS IZZA,KARAWANG
RS PALANG BIRU GOMBONG,KEBUMEN
RS MASMITRA,BEKASI
RSU SURYA HUSADHA UBUNG,DENPASAR
RS WIJAYA KUSUMA,LUMAJANG
RS ISLAM MALANG (UNISMA),MALANG
RS MATA DR. YAP,YOGYAKARTA
RS SILOAM BEKASI SEPANJANG JAYA,BEKASI
RS RAWAMANGUN,JAKARTA TIMUR
RS MULYASARI,JAKARTA UTARA
RS BAKTI TIMAH KARIMUN,KARIMUN
RS SARI ASIH SERANG,SERANG
RS SURYA HUSADHA,DENPASAR
RS SANTO ANTONIO,OGAN KOMERING ULU
RS HAPPYLAND MEDICAL CENTER,YOGYAKARTA
RS COLUMBIA ASIA BSD,TANGERANG SELATAN
RS EMHAKA,BEKASI
KELUARGA SEHAT HOSPITAL,PATI
RS PUSPA HUSADA,BEKASI
RS RIDHOKA SALMA,BEKASI
BALI ROYAL HOSPITAL (BROS),DENPASAR
RS MARDI WALUYO,METRO
RSIA DR DJOKO PRAMONO,KARAWANG
RS MITRA PLUMBON,CIREBON
RS TKIII 030601 CIREMAI,CIREBON
RSI SITI RAHMAH PADANG,PADANG
RS CINTA KASIH,TANGERANG SELATAN
RS MARSUDI WALUYO,MALANG
RS WAVA HUSADA KEPANJEN,MALANG
RSIA HUSADA BUNDA,MALANG
RSU WONOLANGAN,PROBOLINGGO
RSU KARTIKA HUSADA JATIASIH,BEKASI
RS ANNA MEDIKA,BEKASI
RS KELUARGA KITA,TANGERANG
RS JUANDA KUNINGAN,KUNINGAN
RS CITRA MEDIKA SIDOARJO,SIDOARJO
RS MITRA SEHAT MEDIKA,PASURUAN
RS MITRA KELUARGA CIBUBUR,BEKASI
RS ORTHOPAEDI PURWOKERTO,BANYUMAS
RS GRAHA HUSADA LAMPUNG,BANDAR LAMPUNG
RS CITAMA,BOGOR
RSU YPK MANDIRI,JAKARTA PUSAT
RSU SURYA HUSADHA NUSA DUA,BADUNG
RS AL IRSYAD SURABAYA,SURABAYA
RS BHAKTI RAHAYU SURABAYA,SURABAYA
RS BUNDA SURABAYA,SURABAYA
RS ISLAM SURABAYA JEMURSARI,SURABAYA
RS MATA UNDAAN,SURABAYA
RS SANTO VINCENTIUS SINGKAWANG,SINGKAWANG
RS EFARINA PANGKALAN KERINCI,PELALAWAN
SILOAM HOSPITALS BALIKPAPAN,BALIKPAPAN
RSUD MUHAMMAD SANI KAB.KARIMUN,KARIMUN
RS PKT PRIMA SANGATTA (RS PUPUK KALTIM ),KUTAI TIMUR
RS URIP SUMOHARJO,BANDAR LAMPUNG
RS TK II MARTHEN INDEY,JAYAPURA
RS SENTRA MEDIKA CIBINONG,BOGOR
RS GRESTELINA,MAKASSAR
RS IBNU SINA YBW-UMI,MAKASSAR
RSIA SITI KHADIJAH 1 MAKASSAR,MAKASSAR
RS FATIMA PARE-PARE,PAREPARE
RSU MADINA,BUKITTINGGI
RSU BETHESDA LEMPUYANGWANGI,YOGYAKARTA
RSU PURI ASIH JATISARI,KARAWANG
RSIA PURI GARCIA,SERANG
RSIA RINOVA INTAN,BEKASI
RS BUDI MULIA,BITUNG
RUMAH SAKIT ROYAL PROGRESS,JAKARTA UTARA
RSIA JWCC ASIH,JAKARTA SELATAN
RS PETROKIMIA GRESIK (JL A YANI),GRESIK
RS BINA SEHAT JEMBER,JEMBER
RS YASMIN BANYUWANGI,BANYUWANGI
RS AURA SYIFA,KEDIRI
RS ANUGERAH BUNDA KHATULISTIWA,PONTIANAK
RS PKU MUHAMMADIYAH BANTUL,BANTUL
RS MUHAMMADIYAH CEPU,BLORA
RS BHAKTI RAHAYU AMBON,AMBON
RS CAKRA HUSADA KLATEN,KLATEN
PRIMAYA HOSPITAL BHAKTI WARA,PANGKAL PINANG
RS LANCANG KUNING,PEKANBARU
RS TK III WIJAYA KUSUMA,BANYUMAS
RS HIDAYAH PURWOKERTO,BANYUMAS
RSU ANANDA PURWOKERTO,BANYUMAS
RSIA BUNDA ARIF PURWOKERTO,BANYUMAS
RS AR BUNDA PRABUMULIH,PRABUMULIH
RS PERMATA MEDIKA,SEMARANG
RSU PARAMASIDHI,BULELENG
RS ONKOLOGI,SURABAYA
RSIA PUTRI ( RS KHUSUS OBSTETRI & GINEKOLOGI ),SURABAYA
RS MITRA KELUARGA CIKARANG,BEKASI
RSIA CATHERINE BOOTH,MAKASSAR
RS MUTIARA SORONG,SORONG
RS DIAN HARAPAN,JAYAPURA
RS PERTAMINA SORONG,SORONG
RS PONDOK INDAH PURI INDAH,JAKARTA BARAT
RS PANTI WALUYO SURAKARTA,SURAKARTA (SOLO)
RS MITRA KELUARGA DEPOK,DEPOK
RS PRIMAYA BEKASI BARAT,BEKASI
RS MULYA,TANGERANG
RS ASRI (SILOAM HOSPITALS ASRI),JAKARTA SELATAN
RS HERMINA CIRUAS,SERANG
ALIA HOSPITAL JAKARTA TIMUR,JAKARTA TIMUR
RS HERMINA TANGERANG,TANGERANG
RS ADVENT MANADO,MANADO
RS BETHESDA TOMOHON,TOMOHON
RS DHARMA IBU,TERNATE
